runs_scored,balls_faced,fours,sixes,team,opponent,venue,season,strike_rate,runs_last_5,sr_last_5,venue_avg_runs,pvt_avg_runs,pvt_matches,avg_pvp_sr,career_matches,career_avg_runs,career_avg_sr,label
58,49,7,1,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,2007,118.36734693877551,58.0,118.36734693877551,37.111111111111114,26.4375,16,107.72114766112365,1,58.0,118.36734693877551,12
9,19,0,0,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,47.368421052631575,9.0,47.368421052631575,9.0,7.0,4,44.27736006683375,1,9.0,47.368421052631575,5
2,4,0,0,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,50.0,2.0,50.0,2.0,3.0,3,50.0,1,2.0,50.0,0
29,24,2,2,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,120.83333333333333,29.0,120.83333333333333,16.6,17.1875,16,107.28896103896103,1,29.0,120.83333333333333,36
52,44,8,0,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,2007,118.18181818181819,52.0,118.18181818181819,30.076923076923077,28.291666666666668,24,113.54162467244508,1,52.0,118.18181818181819,25
3,7,0,0,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,42.857142857142854,3.0,42.857142857142854,5.0,4.25,4,42.857142857142854,1,3.0,42.857142857142854,1
14,13,2,0,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,107.6923076923077,14.0,107.6923076923077,7.0,5.166666666666667,6,107.6923076923077,1,14.0,107.6923076923077,22
21,15,4,0,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,140.0,21.0,140.0,16.25,29.76923076923077,13,192.14285714285717,1,21.0,140.0,76
7,13,0,1,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,53.84615384615385,7.0,53.84615384615385,7.0,7.0,1,53.84615384615385,1,7.0,53.84615384615385,3
12,4,3,0,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,2007,300.0,12.0,300.0,28.272727272727273,21.066666666666666,15,133.33333333333331,1,12.0,300.0,94
10,5,2,0,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2007,200.0,10.0,200.0,19.625,22.57894736842105,19,200.0,1,10.0,200.0,7
20,15,1,1,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,133.33333333333331,20.0,133.33333333333331,16.75,11.875,8,127.67857142857142,1,20.0,133.33333333333331,45
3,6,0,0,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,50.0,1.5,25.0,3.0,4.0,2,50.0,2,1.5,25.0,2
0,6,0,0,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,0.0,0.0,0.0,0.5,0.0,1,0.0,1,0.0,0.0,30
2,2,0,0,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,100.0,2.0,100.0,11.67741935483871,6.9,10,162.5,1,2.0,100.0,28
25,24,0,1,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,104.16666666666667,16.5,109.22619047619048,14.0,36.53846153846154,13,96.03438758440625,2,16.5,109.22619047619048,11
8,10,2,0,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,80.0,8.0,80.0,8.0,8.0,1,79.99999999999999,1,8.0,80.0,2
23,13,1,2,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,176.9230769230769,23.0,176.9230769230769,12.666666666666666,15.25,8,132.05128205128204,1,23.0,176.9230769230769,44
39,20,4,2,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,195.0,23.0,129.3181818181818,39.0,35.0,3,164.08771929824562,2,23.0,129.3181818181818,4
19,23,2,0,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,82.6086956521739,19.0,82.6086956521739,12.0,19.0,1,82.6086956521739,1,19.0,82.6086956521739,10
32,33,4,0,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,96.96969696969697,17.0,81.81818181818181,20.5,17.727272727272727,11,75.90307296189648,2,17.0,81.81818181818181,0
48,38,5,1,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,126.3157894736842,48.0,126.3157894736842,27.416666666666668,31.227272727272727,22,109.74893629422394,1,48.0,126.3157894736842,43
16,12,3,0,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,133.33333333333331,16.0,133.33333333333331,16.0,16.0,1,133.33333333333334,1,16.0,133.33333333333331,2
28,12,3,2,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,233.33333333333334,28.0,233.33333333333334,14.0,28.0,1,233.33333333333334,1,28.0,233.33333333333334,17
29,17,5,1,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2007,170.58823529411765,29.0,170.58823529411765,52.75,33.2,5,109.1739863366161,1,29.0,170.58823529411765,20
23,15,3,1,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2007,153.33333333333334,12.0,86.66666666666667,40.0,26.875,32,192.93668954996187,2,12.0,86.66666666666667,13
32,41,2,2,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,78.04878048780488,32.0,78.04878048780488,38.5,25.0,4,88.11252771618625,1,32.0,78.04878048780488,12
23,24,1,2,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,95.83333333333334,23.0,95.83333333333334,18.0,24.636363636363637,11,120.87950356095517,1,23.0,95.83333333333334,8
10,10,0,1,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,100.0,10.0,100.0,10.0,10.0,1,99.99999999999999,1,10.0,100.0,12
5,5,1,0,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2007,100.0,81.5,152.5974025974026,26.266666666666666,7.2,5,155.6521739130435,2,81.5,152.5974025974026,24
38,45,1,3,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2007,84.44444444444444,25.0,92.22222222222223,20.384615384615383,41.666666666666664,6,110.53703703703702,2,25.0,92.22222222222223,0
4,6,0,0,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2007,66.66666666666666,4.0,66.66666666666666,12.75,8.666666666666666,3,94.28571428571429,1,4.0,66.66666666666666,42
13,13,1,1,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2007,100.0,9.0,133.33333333333334,6.25,13.0,1,100.0,2,9.0,133.33333333333334,16
0,3,0,0,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,0.0,0.0,0.0,35.84615384615385,32.42424242424242,33,87.8048780487805,1,0.0,0.0,66
1,2,0,0,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,50.0,1.0,50.0,1.0,3.3333333333333335,3,50.0,1,1.0,50.0,1
0,1,0,0,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2007,0.0,10.0,50.0,9.5,0.0,1,0.0,2,10.0,50.0,0
14,10,1,1,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,140.0,14.0,140.0,14.0,8.0,2,140.0,1,14.0,140.0,8
6,7,1,0,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,85.71428571428571,6.0,85.71428571428571,6.0,5.333333333333333,3,85.71428571428571,1,6.0,85.71428571428571,36
14,35,1,0,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2007,40.0,12.0,61.66666666666667,35.46666666666667,32.7,10,94.97923555674315,2,12.0,61.66666666666667,12
0,6,0,0,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,0.0,0.0,0.0,0.0,10.666666666666666,3,84.72222222222221,1,0.0,0.0,2
10,17,1,0,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2007,58.82352941176471,10.0,58.82352941176471,19.928571428571427,9.0,3,78.63777089783282,1,10.0,58.82352941176471,27
0,1,0,0,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,0.0,0.0,0.0,0.0,3.0,3,0.0,1,0.0,0.0,12
14,14,1,0,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2007,100.0,14.0,100.0,20.5,25.166666666666668,6,117.94258373205743,1,14.0,100.0,14
0,2,0,0,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,0.0,0.0,0.0,10.0,10.0,3,0.0,1,0.0,0.0,16
2,5,0,0,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,40.0,2.0,40.0,18.6,14.818181818181818,11,65.0,1,2.0,40.0,12
12,19,0,1,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,63.1578947368421,7.5,61.578947368421055,15.0,14.777777777777779,9,91.66666666666667,2,7.5,61.578947368421055,6
16,16,2,0,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,100.0,43.5,154.41176470588238,16.0,33.5,2,95.22303783173348,2,43.5,154.41176470588238,18
26,21,3,2,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,123.80952380952381,25.0,121.9047619047619,26.0,13.5,2,123.80952380952381,2,25.0,121.9047619047619,18
20,8,3,1,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,250.0,37.0,202.14285714285717,19.25,22.125,8,140.38722826086956,2,37.0,202.14285714285717,94
15,10,2,1,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2007,150.0,15.0,150.0,16.5,19.5,2,218.0,1,15.0,150.0,12
5,8,1,0,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2007,62.5,7.0,54.93421052631579,11.2,6.0,4,62.5,2,7.0,54.93421052631579,34
24,11,4,0,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,218.18181818181816,24.0,218.18181818181816,12.75,6.071428571428571,14,120.43062200956938,1,24.0,218.18181818181816,0
36,27,5,1,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2007,133.33333333333331,32.5,127.08333333333331,19.625,18.266666666666666,15,146.0073770418598,2,32.5,127.08333333333331,1
4,4,0,0,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,100.0,4.0,100.0,4.0,2.0,2,91.66666666666667,1,4.0,100.0,0
76,51,5,5,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2007,149.01960784313727,48.5,144.50980392156862,30.17241379310345,26.41176470588235,17,138.43865719662477,2,48.5,144.50980392156862,4
1,1,0,0,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,100.0,1.0,100.0,1.0,1.0,2,100.0,1,1.0,100.0,25
7,6,1,0,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2007,116.66666666666667,8.5,158.33333333333334,17.25,16.789473684210527,19,162.5,2,8.5,158.33333333333334,61
57,35,6,3,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,2007,162.85714285714286,40.0,169.8901098901099,26.75,29.53846153846154,13,173.19752953813105,2,40.0,169.8901098901099,18
12,13,2,0,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,92.3076923076923,22.0,85.17823639774859,57.666666666666664,28.333333333333332,6,92.3076923076923,2,22.0,85.17823639774859,117
8,9,0,1,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,88.88888888888889,15.5,92.36111111111111,22.444444444444443,26.75,12,118.25396825396827,2,15.5,92.36111111111111,13
12,7,2,0,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,171.42857142857142,11.0,135.71428571428572,9.0,12.0,1,171.42857142857142,2,11.0,135.71428571428572,16
12,9,2,0,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,133.33333333333331,35.0,125.85034013605441,27.333333333333332,25.0,9,125.98039215686273,2,35.0,125.85034013605441,18
66,37,6,4,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,178.3783783783784,33.0,89.1891891891892,33.0,30.47826086956522,23,176.01887601887603,2,33.0,89.1891891891892,36
1,1,0,0,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,100.0,1.0,75.0,3.8333333333333335,0.8571428571428571,7,100.0,2,1.0,75.0,2
25,31,3,0,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,80.64516129032258,38.5,99.41348973607037,29.256410256410255,23.6,5,109.45246179966044,2,38.5,99.41348973607037,0
8,14,0,0,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,57.14285714285714,11.0,98.57142857142857,4.333333333333333,8.0,1,57.142857142857146,2,11.0,98.57142857142857,3
2,7,0,0,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,28.57142857142857,2.0,28.57142857142857,5.2,17.5,2,85.71428571428571,1,2.0,28.57142857142857,10
94,43,10,6,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,218.60465116279067,53.0,259.30232558139534,45.8,28.818181818181817,11,195.6418000604047,2,53.0,259.30232558139534,6
2,6,0,0,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,33.33333333333333,1.0,16.666666666666664,22.0,2.0,1,33.333333333333336,2,1.0,16.666666666666664,16
12,6,0,1,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,200.0,6.0,100.0,7.0,7.0,4,200.00000000000003,2,6.0,100.0,0
14,22,2,0,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2007,63.63636363636363,14.0,81.81818181818181,31.142857142857142,13.2,5,106.04707792207792,2,14.0,81.81818181818181,1
1,2,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,50.0,1.0,50.0,0.3333333333333333,0.5,2,50.0,1,1.0,50.0,2
45,20,6,1,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,225.0,32.5,179.16666666666666,22.5,18.375,8,199.42857142857142,2,32.5,179.16666666666666,2
24,17,2,1,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,141.1764705882353,24.0,141.1764705882353,12.714285714285714,9.4,5,127.05882352941177,1,24.0,141.1764705882353,23
28,14,1,3,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,200.0,15.0,150.0,23.75,10.6875,16,196.62698412698413,2,15.0,150.0,0
5,2,1,0,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2007,250.0,9.0,184.0909090909091,5.0,6.5,2,250.0,2,9.0,184.0909090909091,8
2,4,0,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,50.0,5.0,65.0,2.0,2.0,1,50.0,2,5.0,65.0,11
9,5,0,1,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,180.0,9.0,180.0,9.0,9.0,1,180.0,1,9.0,180.0,8
5,9,1,0,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2007,55.55555555555556,60.5,135.1851851851852,40.38095238095238,25.8,10,88.15789473684211,2,60.5,135.1851851851852,47
81,47,12,2,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2007,172.3404255319149,53.0,159.69962453066333,31.444444444444443,42.833333333333336,6,151.54649330181246,2,53.0,159.69962453066333,70
30,17,4,1,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2007,176.47058823529412,16.0,121.56862745098039,26.627906976744185,21.333333333333332,36,172.76866515837105,2,16.0,121.56862745098039,43
14,12,3,0,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2007,116.66666666666667,14.5,126.5151515151515,24.7,19.09090909090909,11,119.81981981981983,2,14.5,126.5151515151515,21
43,36,6,1,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,119.44444444444444,45.5,122.88011695906432,22.833333333333332,24.863636363636363,22,143.05555555555554,2,45.5,122.88011695906432,21
2,1,0,0,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2007,200.0,16.5,210.71428571428572,17.52,22.928571428571427,14,200.0,2,16.5,210.71428571428572,11
53,39,3,3,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2007,135.8974358974359,42.5,182.23443223443223,28.304347826086957,24.235294117647058,34,130.41785976718106,2,42.5,182.23443223443223,28
17,18,0,1,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,94.44444444444444,22.5,163.88888888888889,17.0,17.0,1,94.44444444444444,2,22.5,163.88888888888889,22
20,12,4,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,166.66666666666669,24.5,168.62745098039215,20.0,47.5,4,167.33333333333334,2,24.5,168.62745098039215,1
117,57,11,7,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2007,205.26315789473685,53.666666666666664,125.20654356341134,57.666666666666664,40.2,5,171.1691509475443,3,53.666666666666664,125.20654356341134,60
13,9,3,0,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2007,144.44444444444443,14.666666666666666,109.72222222222221,22.444444444444443,25.5,10,126.9341205316815,3,14.666666666666666,109.72222222222221,109
16,10,3,0,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2007,160.0,12.666666666666666,143.80952380952382,9.0,16.0,1,160.0,3,12.666666666666666,143.80952380952382,8
1,1,0,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,100.0,13.5,115.0,1.0,1.0,1,100.0,2,13.5,115.0,6
71,46,9,2,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,154.34782608695653,71.0,154.34782608695653,71.0,28.0,4,133.23104117054967,1,71.0,154.34782608695653,49
12,9,1,1,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,133.33333333333331,13.5,141.66666666666666,12.0,12.0,1,133.33333333333334,2,13.5,141.66666666666666,24
34,16,2,3,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,212.5,16.0,107.45614035087719,34.0,25.5,2,212.5,3,16.0,107.45614035087719,4
4,3,0,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,133.33333333333331,4.0,133.33333333333331,4.0,4.0,1,133.33333333333334,1,4.0,133.33333333333331,1
1,3,0,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,33.33333333333333,22.0,95.83333333333331,11.75,17.833333333333332,6,125.0,3,22.0,95.83333333333331,33
36,30,3,1,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2007,120.0,34.0,99.45945945945947,33.0,19.535714285714285,28,133.13090418353576,3,34.0,99.45945945945947,76
22,9,2,2,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,244.44444444444446,18.0,176.06837606837607,22.0,11.0,4,238.88888888888889,2,18.0,176.06837606837607,7
4,6,0,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2007,66.66666666666666,33.666666666666664,118.56209150326798,10.4,20.0,4,71.33333333333333,3,33.666666666666664,118.56209150326798,61
10,4,1,1,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2007,250.0,6.0,139.28571428571428,5.2,5.5,2,250.0,2,6.0,139.28571428571428,13
